Ürün Kodu,Ürün Adı,Renk,Monamise Satış Fiyatı,İndirim Oranı (%),Monamise İndirimli Net Satış Fiyatı
19K19306,Yakası ve Omzu Dantelli Önü Düğmeli Gecelik,YEŞİL,"1953,9",30.00,"1367,73"
19K19307,Yakası ve Omzu Dantelli Önü Boydan Düğmeli Pijama Takımı,YEŞİL,"2931,9",30.00,"2052,33"
19K19317,Göğüs ve Sırt Dekolteli Dantelli Şort Takımı,SİYAH,"2263,9",30.00,"1584,73"
19K19318,Göğüs ve Sırt Dekolteli Dantelli Yırtmaçlı Gecelik,SİYAH,"2227,9",30.00,"1559,53"
20Y20004,Göğüs ve Sırt Dekolteli Dantelli Yırtmaçlı Gecelik,SİYAH,"2121,9",30.00,"1485,33"
17K17301,Çiçek ve Yaprak Desenli Dekolteli Gecelik,RENKLİ,"703,9",35.00,"457,54"
17K18077,Beli Ayarlanabilir Kısa Kollu Gecelik,ANTRASİT,"702,9",35.00,"456,89"
17K18118,Kirpi ve Baykuş Desenli Önü Düğmeli Gecelik,KAR MELANJ,"714,9",35.00,"464,69"
18K18140,Koala Desenli ve Baskılı Sabahlık Takımı,MAVİ,"1006,9",35.00,"654,49"
18K18157,Çiçek Desenli Tüllü Dekolteli Sabahlık Takımı,BORDO,"917,9",35.00,"596,64"
18K18160,Çiçek Desenli Dantelli Dekolteli Sabahlık Takımı,YEŞİL,"924,9",35.00,"601,19"
18K18196,Dantelli Hamile Lohusa 3'lü Pijama Takımı,VİZON,"1604,9",35.00,"1043,19"
18K18204,Yakası Kolu ve Omzu Dantelli Önü Düğmeli Gecelik,VİZON,"793,9",35.00,"516,04"
18K18401,Çiçek Desenli Gömlek Yakalı Önü Boydan Düğmeli Pijama Takımı,MOR,"1215,9",35.00,"790,34"
18K18444,Kolu Omzu ve Yakası Dantelli Önü Düğmeli Gecelik,PEMBE,"1375,9",35.00,"894,34"
18K18445,Kolu Omzu ve Yakası Dantelli Önü Düğmeli Gecelik,PEMBE,"1433,9",35.00,"932,04"
18K18446,Yakası Kolu ve Omzu Dantelli Önü Düğmeli Pijama Takımı,PEMBE,"1682,9",35.00,"1093,89"
18K18448,Dantelli Önü Düğmeli Hamile Lohusa Gecelik,LACİVERT,"1727,9",30.00,"1209,53"
18K18449,Dantelli Önü Düğmeli Hamile Lohusa Gecelik,VİZON,"1727,9",30.00,"1209,53"
18K18450,Dantelli Önü Düğmeli Hamile Lohusa Gecelik,EKRU,"1727,9",30.00,"1209,53"
18K18453,Dantelli Hamile Lohusa Gecelik,LACİVERT,"1817,9",30.00,"1272,53"
18K18466,Önü Düğmeli Dantelli Hamile Lohusa Gecelik,AÇIK YEŞİL,"1727,9",30.00,"1209,53"
18K18474,Kısa Kollu V Yakalı Dantelli Pijama Takımı,PETROL MAVİSİ,"1635,9",35.00,"1063,34"
18K18475,Önü Düğmeli Dantelli Hamile Lohusa Gecelik,PETROL MAVİSİ,"1393,9",35.00,"906,04"
18K18489,Dantelli Hamile Lohusa Gecelik,EKRU,"1817,9",30.00,"1272,53"
18K18490,Dantelli Hamile Lohusa Gecelik,VİZON,"1817,9",30.00,"1272,53"
18K18496,Kısa Kollu Dantelli V Yaka Şort Takımı,SİYAH,"1791,9",30.00,"1254,33"
18K18497,Yakası Dantelli Kısa Kollu Gecelik,SİYAH,"1673,9",30.00,"1171,73"
18K18499,Kısa Kollu Dantelli V Yaka Şort Takımı,BORDO,"1791,9",30.00,"1254,33"
